resource_id,resource_type,subject,topic,learning_goal,vark_visual,vark_auditory,vark_reading,vark_kinesthetic,difficulty_level,effectiveness_rating,url,description,duration_minutes,has_visuals,has_audio,has_text,is_interactive,user_ratings_average,completion_rate,time_spent_average,vark_dominant_style
EDU_000133,assessment,Chemistry,Biochemistry,Connect concepts to everyday experiences,57,62,9,24,Beginner,3.6,https://www.ixl.com/math/,Chemistry - Biochemistry: Connect concepts to everyday experiences,21,False,False,False,False,3.84,0.8,17.4,vark_auditory
EDU_000131,audio,Chemistry,Thermochemistry,Develop research and inquiry skills,66,36,29,18,Beginner,3.2,https://podcasts.apple.com/us/podcast/radiolab/id152249110,Chemistry - Thermochemistry: Develop research and inquiry skills,53,False,True,False,False,4.62,0.95,45.3,vark_visual
EDU_000129,project,Chemistry,Stoichiometry,Develop practical skills and competencies,72,41,32,2,Intermediate,4.4,https://www.khanacademy.org/math,Chemistry - Stoichiometry: Develop practical skills and competencies,30,False,False,False,False,4.55,0.68,28.7,vark_visual
EDU_000132,tutorial,Chemistry,Chemical Reactions,Build foundation for advanced study,11,100,24,58,Intermediate,3.8,https://brilliant.org/chemistry/,Chemistry - Chemical Reactions: Build foundation for advanced study,18,False,False,False,False,3.92,0.82,16,vark_auditory
EDU_000128,educational_game,Chemistry,Chemical Bonds,Synthesize information from multiple sources,60,49,100,59,Advanced,4.4,https://www.funbrain.com/games,Chemistry - Chemical Bonds: Synthesize information from multiple sources,28,False,False,False,True,3.73,0.84,26.4,vark_reading
EDU_000135,research_paper,Chemistry,Biochemistry,Build foundation for advanced study,12,41,68,4,Advanced,3.3,https://www.ams.org/journals/,Chemistry - Biochemistry: Build foundation for advanced study,24,False,False,True,False,4.65,0.79,20.3,vark_reading
EDU_000130,infographic,Chemistry,Chemical Bonds,Develop research and inquiry skills,55,93,45,60,Expert,4.5,https://www.khanacademy.org/math,Chemistry - Chemical Bonds: Develop research and inquiry skills,75,True,False,False,False,4.29,0.85,75.3,vark_auditory
EDU_000134,interactive_simulation,Chemistry,Analytical Chemistry,Analyze and evaluate information critically,55,4,10,68,Expert,4,https://www.ptable.com/,Chemistry - Analytical Chemistry: Analyze and evaluate information critically,64,False,False,False,True,4.31,0.62,74.9,vark_kinesthetic
EDU_000136,lecture,Chemistry,Chemical Reactions,Connect concepts to everyday experiences,39,91,38,30,Expert,4.8,https://www.chemguide.co.uk/,Chemistry - Chemical Reactions: Connect concepts to everyday experiences,33,False,True,False,False,4.89,0.74,26.5,vark_auditory
EDU_000137,webinar,Chemistry,Stoichiometry,Understand fundamental concepts and principles,37,27,1,94,Expert,4.6,https://www.edx.org/learn/math,Chemistry - Stoichiometry: Understand fundamental concepts and principles,74,False,True,False,False,4.39,0.89,70.7,vark_kinesthetic
